"Anho","Mes","Dia","Especie","Tipo_Flota","Puerto","Longitud","Latitud","Captura","Capacidad_Bodega","Anzuelos","Embarcaciones"
2008,12,30,"caballa","industrial","MATARANI","723000W","173300S",3300,6,400,NA
2008,12,30,"caballa","industrial","MATARANI","731600W","171900S",13000,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","731600W","171900S",9600,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",23400,4,400,NA
2008,12,31,"caballa","industrial","MATARANI","724800W","171800S",26100,4,400,NA
2008,12,30,"caballa","industrial","MATARANI","731600W","171900S",20800,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",14500,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",62700,4,400,NA
2008,12,31,"caballa","industrial","MATARANI","724022W","174206S",57600,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","725200W","172630S",13600,4,400,NA
2008,12,30,"caballa","industrial","MATARANI","723942W","173622S",14400,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","731050W","171614S",8000,7,400,NA
2008,12,30,"caballa","industrial","MATARANI","725754W","172002S",17600,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",6600,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","731050W","171810S",25200,5,400,NA
2008,12,30,"caballa","industrial","MATARANI","723910W","174018S",13200,4,600,NA
2008,12,29,"caballa","industrial","ILO","714145W","180615S",15840,2,400,NA
2008,12,28,"caballa","industrial","ILO","714018W","180130S",42000,2,380,NA
2008,12,28,"caballa","industrial","ILO","714748W","180812S",12000,4,600,NA
2008,12,28,"caballa","industrial","ILO","721630W","171030S",19000,4,500,NA
2008,12,28,"caballa","industrial","ILO","722200W","173000S",2500,6,700,NA
2008,12,25,"caballa","industrial","PUCUSANA","780202W","131230S",140000,10,1500,NA
2008,12,25,"caballa","industrial","PUCUSANA","781348W","131644S",68000,7,1500,NA
2008,12,25,"caballa","industrial","PUCUSANA","782616W","122902S",36400,15,1500,NA
2008,12,25,"caballa","industrial","PUCUSANA","781536W","131710S",66000,8,1500,NA
