"Anho","Mes","Dia","Especie","Tipo_Flota","Puerto","Longitud","Latitud","Captura","Capacidad_Bodega","Anzuelos","Embarcaciones"
2008,12,27,"caballa","industrial","CHIMBOTE","794500W","111000S",168000,10,1600,NA
2008,12,25,"caballa","industrial","PUCUSANA","782306W","122920S",14000,15,1500,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734700W","170400S",14000,4,500,NA
2008,12,31,"caballa","industrial","MATARANI","724530W","173030S",35200,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","723910W","174018S",15500,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723942W","173622S",10500,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723350W","173430S",14700,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723605W","173700S",51300,7,400,NA
2008,12,25,"caballa","industrial","PUCUSANA","781348W","131644S",224000,8,1500,NA
2008,12,28,"caballa","industrial","ILO","715330W","181400S",10800,5,600,NA
2008,12,27,"caballa","industrial","CHIMBOTE","795000W","110000S",356400,10,1800,NA
2008,12,28,"caballa","industrial","CHIMBOTE","794500W","104000S",144000,6,1084,NA
2008,12,26,"caballa","industrial","SALAVERRY","810000W","092400S",162500,20,1500,NA
2008,12,26,"caballa","industrial","CHIMBOTE","801000W","104000S",96000,13,2400,NA
2008,12,26,"caballa","industrial","CHIMBOTE","803500W","114500S",208000,14,2100,NA
2008,12,26,"caballa","industrial","CHIMBOTE","800000W","110000S",378000,18,2300,NA
2008,12,29,"caballa","industrial","CHIMBOTE","802000W","094000S",38500,8,2000,NA
2009,1,1,"caballa","industrial","MATARANI","723642W","173736S",46000,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","724500W","172900S",26000,2,400,NA
2009,1,1,"caballa","industrial","LA PLANCHADA","730818W","171100S",9520,3,550,NA
2008,12,31,"caballa","industrial","MATARANI","730600W","173000S",56100,4,400,NA
2008,12,31,"caballa","industrial","LA PLANCHADA","734654W","170900S",123000,9,1200,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","731600W","171900S",51200,5,700,NA
2009,1,1,"caballa","industrial","MATARANI","723328W","173312S",4800,3,400,NA
2008,12,28,"caballa","industrial","ILO","715230W","181030S",18000,4,600,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",13200,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",40800,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","730600W","173000S",53000,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",3000,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723942W","173622S",34800,4,400,NA
2008,12,31,"caballa","industrial","MATARANI","730300W","172700S",46200,4,400,NA
2008,12,31,"caballa","industrial","LA PLANCHADA","734530W","170350S",57000,6,650,NA
2008,12,28,"caballa","industrial","ILO","723000W","173300S",59500,4,500,NA
2009,1,1,"caballa","industrial","MATARANI","723350W","173430S",22500,5,400,NA
2008,12,28,"caballa","industrial","ILO","722500W","172500S",21000,6,900,NA
2008,12,26,"caballa","industrial","ILO","740500W","164000S",14000,8,1000,NA
2008,12,26,"caballa","industrial","PUCUSANA","780202W","131230S",99000,10,1500,NA
2008,12,26,"caballa","industrial","PUCUSANA","775100W","132004S",35500,14,1500,NA
2008,12,27,"caballa","industrial","ILO","720524W","183642S",102000,8,850,NA
2008,12,31,"caballa","industrial","MORRO SAMA","705500W","182500S",133000,5,500,NA
2008,12,31,"caballa","industrial","MORRO SAMA","713300W","180800S",66000,6,600,NA
2008,12,31,"caballa","industrial","MATARANI","724530W","173030S",65800,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",11000,3,400,NA
2008,12,27,"caballa","industrial","ILO","720000W","183000S",33000,6,900,NA
2008,12,28,"caballa","industrial","ILO","715854W","182500S",34200,5,800,NA
2008,12,26,"caballa","industrial","ILO","723000W","185148S",32500,8,1000,NA
2008,12,25,"caballa","industrial","PAITA","835000W","075000S",22000,30,900,NA
2008,12,28,"caballa","industrial","SALAVERRY","795000W","103000S",33000,22,1500,NA
2008,12,28,"caballa","industrial","SALAVERRY","804000W","091500S",56400,12,1800,NA
2008,12,27,"caballa","industrial","CHIMBOTE","800000W","112000S",559000,15,2350,NA
2008,12,28,"caballa","industrial","CHIMBOTE","793000W","104000S",70000,10,1500,NA
2008,12,28,"caballa","industrial","CHIMBOTE","802000W","112000S",72000,18,2300,NA
2008,12,31,"caballa","industrial","ATICO","740120W","165756S",106000,4,600,NA
2009,1,1,"caballa","industrial","MATARANI","724500W","172900S",7000,3,400,NA
2009,1,1,"caballa","industrial","MATARANI","724300W","172356S",4500,2.5,400,NA
2009,1,1,"caballa","industrial","MATARANI","730000W","172300S",0,6,600,NA
2008,12,31,"caballa","industrial","MATARANI","725748W","171904S",2000,5,400,NA
2009,1,1,"caballa","industrial","MATARANI","723350W","173430S",6000,4,400,NA
2009,1,1,"caballa","industrial","LA PLANCHADA","740600W","172700S",61000,4,600,NA
2008,12,31,"caballa","industrial","ILO","714145W","180615S",23200,4,400,NA
2008,12,28,"caballa","industrial","ILO","733900W","165600S",232000,10,1000,NA
2008,12,28,"caballa","industrial","ILO","720524W","183642S",24000,6,900,NA
2008,12,27,"caballa","industrial","PUCUSANA","781554W","131847S",119000,6,1500,NA
2008,12,30,"caballa","industrial","ILO","721300W","183830S",46400,8,1000,NA
2008,12,26,"caballa","industrial","ILO","740600W","172700S",7500,6,800,NA
2008,12,30,"caballa","industrial","ILO","723000W","173300S",10800,4,550,NA
2008,12,31,"caballa","industrial","MORRO SAMA","711000W","181800S",0,4,800,NA
2008,12,24,"caballa","industrial","PAITA","845000W","072000S",52560,15,1000,NA
2008,12,26,"caballa","industrial","PAITA","843000W","071500S",159432,15,1000,NA
2008,12,26,"caballa","industrial","CHIMBOTE","801000W","101500S",102400,12,2500,NA
2008,12,27,"caballa","industrial","CHIMBOTE","800000W","103000S",171000,15,2300,NA
2009,1,1,"caballa","industrial","MATARANI","724300W","172356S",17500,3,400,NA
2009,1,1,"caballa","industrial","MATARANI","730000W","172300S",28800,3,400,NA
2008,12,27,"caballa","industrial","PUCUSANA","775126W","132100S",40000,6,1500,NA
2008,12,27,"caballa","industrial","PAITA","833000W","075500S",105000,25,1000,NA
2008,12,29,"caballa","industrial","SALAVERRY","803000W","100000S",112000,12,1700,NA
2008,12,29,"caballa","industrial","PUCUSANA","781225W","131508S",96000,12,1500,NA
2009,1,1,"caballa","industrial","MATARANI","724000W","175000S",12000,2.5,400,NA
2009,1,1,"caballa","industrial","ATICO","744452W","165520S",24000,10,500,NA
2009,1,4,"caballa","industrial","ATICO","743818W","164904S",37600,4,400,NA
2009,1,1,"caballa","industrial","LA PLANCHADA","734056W","170302S",22800,4,350,NA
2009,1,2,"caballa","industrial","MATARANI","720800W","180800S",88690,4,500,NA
2009,1,3,"caballa","industrial","MATARANI","735206W","163003S",15300,3,400,NA
2009,1,2,"caballa","industrial","MATARANI","722200W","173000S",23240,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","720430W","172750S",23236,4,450,NA
2009,1,2,"caballa","industrial","LA PLANCHADA","734530W","170350S",25956,3,700,NA
2009,1,2,"caballa","industrial","LA PLANCHADA","730818W","171100S",1750,4,450,NA
2009,1,1,"caballa","industrial","ATICO","741500W","170100S",26400,6,400,NA
2008,12,29,"caballa","industrial","PUCUSANA","775218W","132106S",112500,8,1500,NA
2009,1,1,"caballa","industrial","ILO","723000W","173300S",40000,4,750,NA
2008,12,29,"caballa","industrial","ILO","724530W","173030S",76800,10,1000,NA
2008,12,30,"caballa","industrial","PUCUSANA","781937W","131822S",88000,14,1500,NA
2009,1,2,"caballa","industrial","MORRO SAMA","711000W","181800S",57500,3,800,NA
2009,1,3,"caballa","industrial","MORRO SAMA","711000W","181800S",23400,3.5,500,NA
2008,12,31,"caballa","industrial","ILO","714018W","180130S",5100,5,200,NA
2009,1,1,"caballa","industrial","ILO","721300W","183830S",70000,3.5,700,NA
2009,1,3,"caballa","industrial","MORRO SAMA","711400W","182200S",57600,3,600,NA
2008,12,29,"caballa","industrial","CHIMBOTE","800000W","103000S",420000,12,2300,NA
2008,12,27,"caballa","industrial","CHIMBOTE","800000W","110000S",180000,12,2700,NA
2008,12,28,"caballa","industrial","CHIMBOTE","794500W","104500S",396000,12,2300,NA
2009,1,2,"caballa","industrial","MATARANI","721600W","174200S",28750,3,400,NA
2009,1,4,"caballa","industrial","MATARANI","721630W","171030S",11880,3,300,NA
2009,1,2,"caballa","industrial","MATARANI","721300W","173730S",5154,4,450,NA
2008,12,29,"caballa","industrial","PUCUSANA","781348W","131644S",115000,10,1500,NA
2008,12,30,"caballa","industrial","ILO","721900W","184800S",39600,4,600,NA
2008,12,26,"caballa","industrial","CHIMBOTE","813000W","095000S",264000,10,1800,NA
2009,1,3,"caballa","industrial","SALAVERRY","803000W","084000S",37500,6,1700,NA
2009,1,3,"caballa","industrial","SALAVERRY","800500W","094000S",14000,6,1300,NA
2008,12,30,"caballa","industrial","CHIMBOTE","795000W","114000S",720800,14,2500,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","731600W","171900S",18120,4,550,NA
2009,1,2,"caballa","industrial","ATICO","741002W","163742S",49000,4,600,NA
2009,1,2,"caballa","industrial","ATICO","744452W","165520S",38400,4,500,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","735354W","171036S",82360,4,450,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","735354W","171036S",17800,8,1000,NA
2009,1,4,"caballa","industrial","MATARANI","735206W","163003S",39100,8,400,NA
2009,1,2,"caballa","industrial","LA PLANCHADA","734700W","170400S",29700,4,700,NA
2009,1,2,"caballa","industrial","MATARANI","721900W","171400S",30000,3,500,NA
2009,1,2,"caballa","industrial","MATARANI","721402W","173844S",9300,7,700,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","734242W","171625S",103850,5,600,NA
2009,1,4,"caballa","industrial","LA PLANCHADA","734242W","171625S",3700,10,1300,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","734110W","170350S",25500,7,500,NA
2009,1,3,"caballa","industrial","MATARANI","740000W","172400S",11100,3,500,NA
2009,1,2,"caballa","industrial","ILO","715224W","181700S",60000,7,1000,NA
2009,1,1,"caballa","industrial","PUCUSANA","775730W","131100S",20800,8,700,NA
2009,1,4,"caballa","industrial","MORRO SAMA","711400W","182200S",34200,4,650,NA
2009,1,2,"caballa","industrial","ILO","714748W","180812S",23400,4,600,NA
2009,1,4,"caballa","industrial","ILO","714018W","180130S",10000,3,400,NA
2009,1,3,"caballa","industrial","ILO","713500W","175900S",10000,6,400,NA
2009,1,3,"caballa","industrial","MORRO SAMA","711000W","181800S",12500,4,700,NA
2009,1,3,"caballa","industrial","ILO","715800W","174900S",18500,5,300,NA
2009,1,4,"caballa","industrial","MORRO SAMA","711400W","182200S",78200,10,560,NA
2009,1,2,"caballa","industrial","ILO","715730W","181924S",18900,6,750,NA
2008,12,28,"caballa","industrial","CHIMBOTE","810000W","073000S",81000,8,1500,NA
2009,1,2,"caballa","industrial","CHIMBOTE","793000W","103000S",182000,10,1800,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","733842W","165545S",21450,4,700,NA
2009,1,3,"caballa","industrial","MATARANI","722500W","172500S",15240,3,400,NA
2009,1,4,"caballa","industrial","MORRO SAMA","711000W","181800S",19200,4,500,NA
2009,1,2,"caballa","industrial","ILO","720000W","183000S",8000,6,700,NA
2009,1,2,"caballa","industrial","SALAVERRY","801000W","093000S",27000,6,1300,NA
2009,1,1,"caballa","industrial","CHIMBOTE","795000W","105500S",323000,10,2200,NA
2009,1,1,"caballa","industrial","CHIMBOTE","795000W","110000S",120000,10,2200,NA
2009,1,1,"caballa","industrial","CHIMBOTE","794000W","112000S",182000,15,2600,NA
2009,1,1,"caballa","industrial","CHIMBOTE","800000W","113000S",105000,30,2900,NA
2009,1,2,"caballa","industrial","CHIMBOTE","795000W","105000S",224000,10,1900,NA
2009,1,1,"caballa","industrial","PUCUSANA","780938W","131420S",2500,3,1500,NA
2009,1,1,"caballa","industrial","PUCUSANA","783012W","123005S",154000,8,1500,NA
2009,1,6,"caballa","industrial","MATARANI","723000W","173300S",855,2,400,NA
2009,1,4,"caballa","industrial","LA PLANCHADA","730950W","171210S",48000,5,450,NA
2009,1,5,"caballa","industrial","LA PLANCHADA","740500W","164000S",77500,6,600,NA
2009,1,5,"caballa","industrial","ATICO","741500W","170100S",40000,10,500,NA
2009,1,4,"caballa","industrial","LA PLANCHADA","733900W","165600S",10800,2,500,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","734700W","170400S",28600,4,500,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","733300W","164800S",61350,6,500,NA
2009,1,3,"caballa","industrial","MORRO SAMA","710524W","181430S",54000,6,500,NA
2009,1,4,"caballa","industrial","MATARANI","723300W","174200S",35700,3,400,NA
2009,1,4,"caballa","industrial","LA PLANCHADA","733300W","164800S",48000,4,400,NA
2009,1,2,"caballa","industrial","MATARANI","730000W","170630S",16000,7,600,NA
2009,1,5,"caballa","industrial","LA PLANCHADA","730950W","171210S",21600,3,400,NA
2009,1,2,"caballa","industrial","MATARANI","730300W","172700S",8000,7,600,NA
2009,1,2,"caballa","industrial","MATARANI","725600W","171800S",24000,4,400,NA
2009,1,4,"caballa","industrial","MATARANI","723124W","173105S",16000,3,400,NA
2009,1,4,"caballa","industrial","MATARANI","723044W","173025S",12600,4,400,NA
2009,1,4,"caballa","industrial","MATARANI","721300W","174830S",13174,4,500,NA
2009,1,2,"caballa","industrial","MATARANI","730000W","172300S",24000,6,400,NA
2009,1,4,"caballa","industrial","MATARANI","721600W","174200S",8775,4,400,NA
2009,1,5,"caballa","industrial","MATARANI","731600W","171900S",37440,4,450,NA
2009,1,4,"caballa","industrial","MATARANI","730000W","170630S",62650,4,500,NA
2009,1,2,"caballa","industrial","MATARANI","734700W","170400S",136800,4,500,NA
2009,1,4,"caballa","industrial","LA PLANCHADA","734700W","170400S",48412,7,700,NA
2009,1,4,"caballa","industrial","MATARANI","723910W","174018S",33000,7,400,NA
2009,1,4,"caballa","industrial","ILO","712400W","181600S",1600,4,400,NA
2009,1,4,"caballa","industrial","MATARANI","725200W","172630S",18600,2.5,400,NA
2009,1,3,"caballa","industrial","MATARANI","730818W","171100S",86700,7,500,NA
2009,1,2,"caballa","industrial","MATARANI","725600W","171800S",40600,4,400,NA
2009,1,1,"caballa","industrial","ILO","725200W","180600S",14000,2.5,500,NA
2009,1,5,"caballa","industrial","MATARANI","724530W","173030S",4800,4,400,NA
2009,1,3,"caballa","industrial","LA PLANCHADA","734654W","170900S",21350,7,800,NA
2009,1,1,"caballa","industrial","ILO","715224W","181700S",45000,6,600,NA
2008,12,31,"caballa","industrial","CHIMBOTE","801000W","100000S",92000,8,1200,NA
2009,1,1,"caballa","industrial","PUCUSANA","781200W","131630S",48000,8,1500,NA
2009,1,3,"caballa","industrial","ILO","715230W","181030S",12000,3,300,NA
2009,1,5,"caballa","industrial","ILO","712400W","181600S",20000,4,350,NA
